هم;concern, worry
صدق;truth, truthfulness, honesty
جيب;pocket
منح;granting, giving, awarding
دخول;entry, entrance, entering, going , joining
معنى;meaning, sense, significance
حفظ;memorizing
ذنب;fault, sin, offense
طرف;edge, tip, outskirt
وعي;awareness, consciousness
احباط;frustration
مستوى;level, standard
استعداد;getting ready, preparation, preparing
قيمة;value
عزيزي;dear
عن طريق;through, by means of
قتل;killing
الإسلام;Islam
شأن;matter, affair
شر;evil
مهنة;job, profession
جنسية;citizenship, nationality
الشرق الأوسط;the Middle East
شرعية;legitimacy
مواطن;citizen
مشط;comb
خير;goodness, good thing, well-being, bounty, blessing, good
هل;parents, family
وإنت طيب;[said in response to كل سنة وإنت طيب]
أخلاق;manners, morals
في هذا الصدد;in this respect, with regard to this, on this occasion
شهيد;martyr
قومية;nationalism
أقلية;minority
جهل;ignorance
شرط;condition, stipulation, requirement
كتف;shoulder
بطولة;championship, tournament
موقع;site, location
منع;preventing, prevention, forbidding, forbiddance
نقد;criticism
نتيجة;result, outcome
رفض;refusing, rejecting, refusal, rejection
صدمة;shock
بيئة;environment
رقابة;supervision, control, censorship, surveillance
حمق;foolishness, idiocy
جمهور;audience
حمار;donkey
صحة;health
فجوة;gap, opening
رمي;throwing, tossing, discarding
مقاطعة;boycotting
كمية;quantity, amount, magnitude
ظهور;appearing, appearance, emerging, emergence, becoming visible
ضحية;victim
طلاق;divorce
شفقة;compassion, pity, sympathy, mercy
إيجابية;positivity
عشق;love, passion
حمام;pigeon
جلد;skin
ميل;tilt, slope
بشر;human, human being, people
ببساطة;simply
بطاقة;card
مطبعة;printing machine, press, or shop
وحش;beast, monster
كهربا;electricity
خجل;shame, embarrassment
كارثة;disaster, catastrophe
محفظة;wallet, purse
فخر;pride, honor
آداب;etiquette, decency
حظ;luck, fortune
صلاة;prayer, praying
ذهن;mind, intellect
منتها;end, finish
تدعيم;support, supporting
زفاف;wedding
تشريع;legislation, legislating, making laws
فعالية;effectiveness, efficiency, functionality
قتيل;murdered, killed, or slain person
مرحلة;stage, phase
نخل;palm tree
فرعون;Pharaoh
حجم;size, volume
إسلام;Islam, becoming Muslim, embracing Islam
تأشيرة;visa
فرق;difference
جعل;making, causing
أسرة;family
قانون;law
دفع;paying, payment
حساب;being held to account, settling the score, getting even
لهجة;dialect, vernacular, accent
حبس;imprisoning, imprisonment
اختيار;choosing, choice
حماس;enthusiasm
ظلم;injustice, oppression, tyranny
ذكرى;memory, remembrance
بالقوة;by force
انطباع;impression
مصيبة;catastrophe, disaster, calamity
حصان;horse
صراع;fight, struggle, conflict
تاريخ;history
توازن;balance
بحجة;on the grounds
تراب;dust, dirt, soil, earth
قدر;fate, destiny
نجاح;success, succeeding
حزب;party
أمين;honest, trustworthy
حركة;move, movement, motion, activity, action
غير;except ,  other than,  aside from,  besides, other, person or thing other than the one in question, else
لحن;melody, tune
تواجد;existence, presence
هزيمة;defeat
طيّ;folding, turning  over
اضافة;adding, addition
ليلة دخلة;wedding night
أدب;good manners, decency, civility
ما;what, that which
فوضى;chaos, mess, confusion
ثابت;fixed, stable
منع من;preventing, forbidding  from
مادة;material, resource
علبة;can, case, box
ضغط;pressuring, exerting pressure, pressure
حفّة;side, edge, border, rim
طرف;limb, extremity
جزء;part, section
سواد;blackness
آهة;sigh, moan, groan
بطل;champion, hero, protagonist
قناة;channel
حجر;stone, rock
جمال;beauty
تغطية;covering, coverage
الفجريّة;dawn/daybreak
وظيفة;job, position, function
مهمة;mission, task
نفايات;waste, garbage, trash, refuse
نسبة;percentage
صدفة;coincidence, chance
بنفس القدر من;the same degree/level of
قطعة;part, piece
وحدة;isolation, loneliness
عبادة;worship, worshiping
سطح;surface
مسير;not endowed with free will
كل ما في الأمر أن;it is/was merely that...
قضا;divine decree, destiny, fate
شكوى;complaint
سائل;beggar
إحسان;beneficence, charity, almsgiving, philanthropy, performance of good deeds
ربح;profiting, gaining, earning
محض;pure, sheer
تحامق;pretending to be stupid
تمني;wishing
سلّم;ladder,  stairs, staircase
صحراء;desert
تساوي;equality, equivalence, sameness
مظاهرة;demonstration, protest
مرير;bitter
تجربة;experience
قميص;shirt
بقية;rest, remainder, remaining
خطوة;step, footstep, pace, stride
رقبة;neck
شجر;tree
هواية;hobby
أصل;origin
